Horizon,Model,RU,RU_percent,Utility_loss_to_perfect_bps,Negative_forecast_n,Zero_forecast_n,Nonpositive_forecast_n,Below_dynamic_floor_after_abs_n,Missing_forecast_n_total,Average_weight,Median_weight,Max_weight,Share_leverage,Evaluation_obs,Dropped_initial_obs_due_to_dynamic_floor,Dropped_obs_total,Utility_gain_vs_Model 16_bps
1,Model 16,0.038511112380311664,3.8511112380311663,14.888876196883366,8,0,8,8,0,0.7114011741670795,0.6926745933413212,1.72895012247077,0.07563025210084033,476,1,1,0.0
1,Model 12,0.03793578764267331,3.793578764267331,20.642123573266918,1,0,1,5,0,0.6683970952407261,0.6707894765505266,1.72895012247077,0.01050420168067227,476,1,1,-5.753247376383552
1,Model 13,0.037603252159381186,3.7603252159381184,23.967478406188153,9,0,9,8,0,0.6597028308907816,0.6403821046485652,1.72895012247077,0.03571428571428571,476,1,1,-9.078602209304787
1,Model 6,0.03755455798373363,3.755455798373363,24.45442016266369,9,0,9,12,0,0.7522185619648015,0.7159464538980631,1.72895012247077,0.10714285714285714,476,1,1,-9.565543965780327
1,Model 3,0.03750841074904382,3.7508410749043817,24.915892509561818,0,0,0,1,0,0.6424374606429938,0.6468929351149201,0.8678587064493628,0.0,476,1,1,-10.027016312678452
1,Model 1,0.03749879261528696,3.7498792615286964,25.012073847130374,0,0,0,2,0,0.6638502676370573,0.6815555414184138,0.8890966061202856,0.0,476,1,1,-10.12319765024701
1,Model 9,0.037440436482110206,3.7440436482110204,25.595635178897943,11,0,11,8,0,0.6742817325686417,0.6567671494145104,1.72895012247077,0.04201680672268908,476,1,1,-10.706758982014577
1,Model 8,0.03741279244971791,3.741279244971791,25.87207550282092,13,0,13,10,0,0.7806578969968831,0.7651606232667236,1.72895012247077,0.06302521008403361,476,1,1,-10.983199305937552
1,Model 4,0.03735903157505286,3.735903157505286,26.409684249471404,0,0,0,0,0,0.6316256150791466,0.6499790107920203,0.8196078987401373,0.0,476,1,1,-11.520808052588038
1,Model 7,0.03718286233309274,3.7182862333092737,28.17137666907263,12,0,12,7,0,0.6435908820346676,0.6212636408367518,1.72895012247077,0.029411764705882353,476,1,1,-13.282500472189263
1,Model 2,0.037117631705468515,3.7117631705468517,28.823682945314857,0,0,0,2,0,0.6512518951766988,0.6470953281039731,1.01424093103142,0.0021008403361344537,476,1,1,-13.934806748431491
1,Model 10,0.03710030012310075,3.710030012310075,28.996998768992533,0,0,0,1,0,0.5705051666659788,0.5808854916101417,0.8237106816927434,0.0,476,1,1,-14.108122572109167
1,Model 15,0.03640633975246037,3.6406339752460366,35.936602475396334,20,0,20,34,0,0.8668971979240958,0.8172066957876334,1.72895012247077,0.26260504201680673,476,1,1,-21.047726278512965
1,Model 11,0.03631950155973915,3.631950155973915,36.804984402608525,6,0,6,5,0,0.5874017696695921,0.5746842008913854,1.72895012247077,0.014705882352941176,476,1,1,-21.916108205725163
1,Model 14,0.035969520865753286,3.5969520865753286,40.30479134246715,20,0,20,30,0,0.8951072715578683,0.8530841024613962,1.72895012247077,0.3025210084033613,476,1,1,-25.415915145583778
1,Model 5,0.0353803269997566,3.53803269997566,46.196730002434,0,0,0,2,0,0.5562405508889628,0.5580770164550722,0.8216428713647882,0.0,476,1,1,-31.307853805550636
3,Model 16,0.038077687078620484,3.8077687078620484,19.22312921379517,12,0,12,12,0,0.7402274984912892,0.703259316287443,1.72895012247077,0.09957627118644068,472,3,3,0.0
3,Model 7,0.03791694609435397,3.791694609435397,20.830539056460317,8,0,8,10,0,0.6890444780191705,0.660467615666481,1.72895012247077,0.04449152542372881,472,3,3,-1.6074098426651502
3,Model 14,0.03713052171292885,3.7130521712928846,28.69478287071153,4,0,4,4,0,0.6140824074977843,0.6048485746782821,1.72895012247077,0.025423728813559324,472,3,3,-9.471653656916365
3,Model 9,0.036980235593660184,3.6980235593660185,30.197644063398172,17,0,17,10,0,0.7486300747633607,0.718638213538406,1.72895012247077,0.0826271186440678,472,3,3,-10.974514849603004
3,Model 12,0.03697856202322641,3.697856202322641,30.214379767735874,2,0,2,9,0,0.8212416893808774,0.7959949209102989,1.72895012247077,0.20127118644067796,472,3,3,-10.991250553940707
3,Model 11,0.03691966615776902,3.6919666157769018,30.80333842230984,7,0,7,2,0,0.5936330950790288,0.5790350427729964,1.72895012247077,0.019067796610169493,472,3,3,-11.580209208514672
3,Model 6,0.03645976924386637,3.6459769243866367,35.40230756133633,10,0,10,8,0,0.7336811253107568,0.6977749154841572,1.72895012247077,0.059322033898305086,472,3,3,-16.179178347541164
3,Model 15,0.036441886635561783,3.644188663556178,35.58113364438217,8,0,8,19,0,0.8335387986170312,0.7858758936370305,1.72895012247077,0.2266949152542373,472,3,3,-16.358004430587005
3,Model 1,0.036373841707072994,3.6373841707072994,36.26158292927006,0,0,0,0,0,0.649338381279492,0.6673105322757991,0.8391121639422982,0.0,472,3,3,-17.038453715474898
3,Model 4,0.03608826187166539,3.608826187166539,39.11738128334612,0,0,0,0,0,0.6298861655421043,0.6472159523165864,0.9810097254497423,0.0,472,3,3,-19.894252069550948
3,Model 5,0.035830446794262304,3.5830446794262305,41.69553205737697,0,0,0,0,0,0.5930868764959721,0.6020586237693704,0.6548821334469763,0.0,472,3,3,-22.472402843581804
3,Model 3,0.03569041061885228,3.569041061885228,43.095893811477204,0,0,0,0,0,0.5990992929908382,0.6042434479910872,0.7320946915538943,0.0,472,3,3,-23.872764597682032
3,Model 13,0.035687416018838056,3.5687416018838056,43.12583981161945,19,0,19,17,0,0.8468427441010645,0.8089688601273991,1.72895012247077,0.2055084745762712,472,3,3,-23.902710597824285
3,Model 2,0.03566629914022404,3.566629914022404,43.33700859775961,0,0,0,0,0,0.6396995496276615,0.6364510104925605,0.9716294307692412,0.0,472,3,3,-24.11387938396445
3,Model 10,0.03545201469734568,3.5452014697345677,45.479853026543225,1,0,1,2,0,0.5964214811362484,0.5977262894661968,1.72895012247077,0.006355932203389831,472,3,3,-26.25672381274806
3,Model 8,0.034183987476201584,3.4183987476201585,58.16012523798417,19,0,19,30,0,0.951796843758768,0.9116245161449401,1.72895012247077,0.3707627118644068,472,3,3,-38.936996024189
5,Model 16,0.037843483531129346,3.7843483531129345,21.56516468870655,8,0,8,10,0,0.7072416745604264,0.6635847725179502,1.72895012247077,0.057692307692307696,468,5,5,0.0
5,Model 8,0.03773004626359529,3.773004626359529,22.69953736404713,1,0,1,4,0,0.6481451954506225,0.6376560848707921,1.72895012247077,0.021367521367521368,468,5,5,-1.1343726753405836
5,Model 9,0.03763821589371859,3.763821589371859,23.61784106281413,9,0,9,7,0,0.6570073313781356,0.6286780266993444,1.72895012247077,0.038461538461538464,468,5,5,-2.0526763741075813
5,Model 7,0.037566080000203075,3.7566080000203077,24.339199997969256,10,0,10,6,0,0.6715177224534229,0.6430304491252922,1.72895012247077,0.049145299145299144,468,5,5,-2.7740353092627066
5,Model 6,0.03736749196965049,3.736749196965049,26.32508030349513,3,0,3,8,0,0.6575718309100959,0.6299830319637454,1.72895012247077,0.038461538461538464,468,5,5,-4.759915614788585
5,Model 14,0.03731711782760936,3.731711782760936,26.828821723906408,7,0,7,5,0,0.6472037758801915,0.629873507641568,1.72895012247077,0.029914529914529916,468,5,5,-5.263657035199862
5,Model 13,0.03728638202121058,3.7286382021210582,27.13617978789419,2,0,2,4,0,0.6166902468631152,0.5931052225179041,1.72895012247077,0.027777777777777776,468,5,5,-5.571015099187643
5,Model 11,0.03686779063593565,3.6867790635935647,31.32209364064352,9,0,9,5,0,0.6016134649826185,0.5796386279422632,1.72895012247077,0.021367521367521368,468,5,5,-9.756928951936972
5,Model 10,0.03567682471224797,3.567682471224797,43.23175287752029,1,0,1,2,0,0.5412563636114026,0.5327430730742235,1.72895012247077,0.00641025641025641,468,5,5,-21.666588188813744
5,Model 4,0.03538865578998532,3.5388655789985317,46.11344210014683,0,0,0,1,0,0.6264248296832234,0.6464754768023429,0.7854907233864675,0.0,468,5,5,-24.548277411440278
5,Model 1,0.03535794356414101,3.5357943564141006,46.420564358589935,0,0,0,1,0,0.6364076910211834,0.6542297141325348,0.7992621548357806,0.0,468,5,5,-24.855399669883386
5,Model 3,0.03514824548292984,3.514824548292984,48.517545170701645,0,0,0,0,0,0.5801159250121504,0.5848595845606761,0.6880285700052978,0.0,468,5,5,-26.952380481995096
