TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000435248,0.000523961,0.000328352,0.000651365,0.000395841,0.000354522,0.00066036,0.000437589,0.000462586,0.000358809,0.000562862,0.000506203,0.000509827,0.000493549,0.000572329,0.000577392,0.000499663
0.000313113,0.000378313,0.000248214,0.00051285,0.000272184,0.000293652,0.000523615,0.000396576,0.00032899,0.000288973,0.000426174,0.000419324,0.000527292,0.00053746,0.000589081,0.000645126,0.00050889
0.000513405,0.000313593,0.000253875,0.000453643,0.000200314,0.000279297,0.000444868,0.00057655,0.000299709,0.000224841,0.000348725,0.000337323,0.000551996,0.000559574,0.00063613,0.000595696,0.000485445
0.000142153,0.000175295,0.000187885,0.000339852,6.57E-05,0.000240263,0.000349599,0.000342974,0.000183761,0.000123985,0.000225463,0.000204574,0.000548204,0.000525984,0.000652051,0.000539919,0.000449032
0.000352751,0.000220532,0.000263723,0.000402437,0.000130332,0.00025952,0.000417675,0.000494168,0.000244441,0.00017132,0.000299998,0.000280249,0.000526459,0.000512402,0.000640319,0.000491353,0.000418412
0.000480574,0.000492013,0.000449277,0.000674274,0.000424068,0.000342261,0.000656848,0.000621535,0.000481203,0.000343917,0.000551717,0.000560825,0.000514649,0.000505617,0.000609377,0.000460636,0.000389194
0.000303313,0.000523875,0.000410755,0.000677157,0.000425854,0.000347152,0.000702299,0.000382812,0.000498017,0.000355769,0.00057667,0.000573364,0.00047856,0.000400803,0.000567054,0.000424478,0.000372363
0.000326409,0.000293297,0.000191007,0.000411979,0.00018506,0.000300901,0.000455612,0.000512348,0.000265462,0.000198791,0.000316807,0.000311443,0.000452998,0.00037789,0.000487474,0.000395121,0.000356019
0.000231276,0.000251458,0.00017735,0.000368421,0.000158007,0.000328544,0.000415845,0.000458254,0.000245279,0.000142547,0.000278931,0.000251072,0.000458986,0.000409019,0.000481095,0.000349426,0.000331543
0.000235425,0.000346754,0.000288293,0.000444135,0.000246135,0.000349715,0.00049573,0.000399534,0.00036504,0.000183856,0.00038047,0.000318607,0.000458233,0.000375108,0.000498373,0.000348824,0.000362336
0.000307289,0.000337054,0.00030012,0.000435105,0.000258861,0.000302834,0.000490059,0.000508068,0.000311194,0.000183373,0.000348243,0.000320459,0.000452202,0.000359424,0.000464421,0.00034241,0.000343112
0.000232357,0.000368536,0.000343405,0.000472175,0.000275874,0.000293762,0.000561498,0.00043817,0.000336543,0.000218793,0.000401895,0.000361178,0.000451286,0.000376726,0.000488876,0.000337082,0.000361049
0.000729326,0.000468239,0.00042378,0.000577442,0.000374882,0.00031497,0.00065959,0.000763426,0.000457117,0.000298741,0.000495281,0.000446028,0.000438365,0.000360808,0.000468366,0.000320574,0.000351384
0.000277489,0.00040211,0.00036563,0.0005282,0.000323607,0.000272282,0.000603013,0.000451401,0.000405541,0.000267181,0.000421264,0.000358156,0.000427499,0.000358851,0.000431997,0.000311636,0.000353557
0.000272403,0.000224886,0.000220737,0.000348767,0.000130852,0.000223243,0.00046135,0.000400707,0.000231317,0.00016298,0.000264585,0.000164402,0.000423372,0.000357062,0.000427807,0.000407855,0.00040715
0.000267687,0.000236015,0.000231575,0.00034201,0.000151172,0.000244569,0.000387004,0.000456886,0.000199937,0.000164402,0.000245578,0.000180503,0.000458758,0.000382296,0.000441119,0.000438874,0.000404045
0.000227534,0.000349881,0.000345259,0.000455635,0.000276148,0.000250395,0.000462414,0.000414807,0.000331026,0.000213202,0.000389774,0.000318146,0.000469904,0.000480608,0.000497253,0.000427278,0.000415599
0.000283867,0.000298384,0.000330611,0.000388468,0.000227027,0.00020963,0.000415623,0.000426251,0.000314379,0.000170561,0.000346994,0.000283645,0.000467371,0.000498827,0.000503921,0.000404815,0.000386223
0.000192394,0.000234234,0.000248096,0.000345349,0.000190926,0.00021078,0.00041233,0.000455644,0.000254541,0.00012067,0.00028697,0.000259478,0.000460593,0.000472308,0.000497485,0.000365494,0.000358421
0.000216325,0.000281281,0.000242539,0.000399418,0.000220105,0.000249793,0.000470646,0.000497023,0.000321117,0.000158038,0.000357154,0.000319321,0.000449454,0.000474903,0.000500643,0.000346006,0.000351394
0.000269344,0.00032717,0.000237276,0.000476047,0.000286565,0.000259939,0.000530581,0.000455124,0.000342895,0.000208416,0.000382257,0.000383548,0.000423167,0.000356976,0.000420978,0.00034985,0.000391485
0.000241109,0.000317613,0.000208722,0.000477227,0.000254477,0.000267714,0.000515017,0.000415824,0.000335071,0.0002021,0.000377035,0.000346822,0.000417549,0.000346727,0.000416277,0.000314933,0.000363454
0.000220038,0.000314921,0.000190494,0.000457431,0.000241559,0.000288579,0.000450795,0.000419114,0.000326194,0.00019149,0.000352008,0.00030264,0.000412644,0.00034315,0.000403796,0.000305366,0.000342424
0.000250804,0.000356667,0.000221507,0.000498735,0.000296368,0.000268534,0.000491848,0.000462715,0.00036276,0.000219416,0.000385947,0.00033632,0.000412754,0.000345863,0.000397713,0.00028994,0.000329495
0.000388265,0.000391842,0.000255106,0.000524171,0.000323087,0.000235888,0.000553048,0.000495634,0.000405128,0.000241338,0.000432775,0.000367026,0.000413929,0.000342474,0.000402201,0.000272818,0.000316885
0.000395051,0.000378695,0.000239983,0.000496646,0.000303687,0.000239391,0.000534495,0.000565935,0.000381953,0.000219303,0.000404702,0.000339947,0.000411865,0.000337195,0.000393557,0.000260026,0.000311872
0.000200025,0.000341167,0.000213013,0.000458229,0.000268546,0.000245452,0.000495805,0.00038157,0.000338199,0.000191156,0.000361995,0.000308096,0.000414536,0.000338984,0.000399661,0.000236628,0.000294562
0.000224536,0.000348031,0.00023787,0.000471142,0.000284694,0.00023403,0.000506855,0.000435459,0.000349191,0.000208857,0.000382084,0.000339315,0.000426178,0.000390265,0.000412899,0.000352675,0.000377523
0.000294604,0.000372245,0.000285422,0.000491849,0.000309775,0.000234076,0.000526893,0.000467016,0.000378262,0.00022863,0.000412137,0.000364524,0.000440024,0.000399085,0.000433199,0.000353078,0.000402722
0.000311191,0.000308916,0.000252055,0.000419592,0.000240254,0.000228237,0.000468809,0.000453961,0.000325874,0.000181179,0.000344956,0.000281733,0.000439359,0.000364039,0.000447102,0.000328841,0.000380786
0.000275364,0.000230206,0.000196194,0.000342573,0.000169236,0.000203926,0.000403501,0.000434816,0.000251425,0.000130916,0.000262036,0.000207212,0.000435237,0.000361406,0.000444707,0.000309021,0.000354281
0.000274089,0.000274755,0.000232285,0.000388763,0.000214508,0.000204789,0.000458356,0.000413544,0.000294817,0.000156164,0.000313305,0.000266274,0.000432468,0.000365553,0.000444267,0.000277482,0.000331004
0.000348777,0.000326197,0.000275261,0.00043086,0.000259584,0.000225374,0.000501766,0.000478484,0.000332087,0.000186298,0.000361016,0.000322509,0.00042807,0.000374484,0.000429727,0.000269191,0.000332275
0.000301033,0.000263441,0.00022801,0.000373075,0.000207445,0.000224064,0.00044858,0.000428298,0.000257256,0.00016006,0.000298795,0.000281892,0.000425775,0.000355217,0.000413904,0.000312257,0.000342415
0.00027018,0.000232054,0.000207032,0.000352633,0.000184868,0.000220941,0.000436552,0.000407208,0.000241855,0.000158157,0.000287078,0.000275399,0.000429952,0.000360153,0.000426169,0.000281502,0.000319927
0.000213305,0.000302181,0.000250455,0.000420472,0.000255202,0.000227698,0.000506696,0.000436872,0.000322932,0.000197542,0.000355927,0.000346191,0.00043662,0.000373911,0.00043855,0.000314431,0.000324731
0.000309103,0.000302938,0.000226018,0.000404387,0.000241451,0.000203453,0.000516563,0.000452657,0.000327453,0.000175003,0.000346755,0.000333711,0.000438246,0.000402016,0.000444788,0.000354921,0.000335122
0.000246283,0.000226228,0.00015555,0.000312493,0.000158442,0.000168826,0.00045111,0.000441804,0.000258523,0.000118227,0.000266114,0.000255015,0.000436381,0.000401989,0.000440585,0.000424707,0.000364047
0.000218886,0.0002373,0.000178433,0.000330404,0.000180578,0.000171851,0.0004691,0.000415324,0.00028277,0.00013242,0.00027439,0.000273472,0.000430573,0.000378075,0.000436294,0.000387617,0.00034319
0.00034898,0.000283402,0.000237112,0.000392106,0.000236293,0.000179436,0.00050552,0.000446169,0.00032386,0.000175414,0.000322914,0.000330627,0.000429421,0.000376785,0.000431714,0.00036778,0.000337579
0.000307705,0.000249139,0.000232927,0.000373053,0.000205523,0.000166941,0.000481837,0.00043184,0.000273833,0.000162755,0.000308549,0.000315496,0.000424163,0.000365276,0.000421505,0.000359557,0.000321991
0.000398851,0.000222007,0.000220422,0.000347673,0.000176996,0.000174737,0.000456163,0.000501196,0.000242734,0.000141262,0.000289495,0.000296009,0.000419279,0.000363035,0.000410831,0.000354941,0.000309387
0.000251213,0.000260341,0.000221313,0.000385568,0.000221267,0.000187145,0.00048576,0.000415769,0.000270567,0.000151208,0.000311012,0.000342321,0.000424841,0.000372624,0.000409823,0.000384799,0.000314438
0.000207157,0.000246848,0.000154363,0.000362565,0.000188324,0.000153592,0.000482451,0.000398305,0.000251358,0.000138675,0.000294332,0.00033761,0.00043163,0.000399683,0.000429882,0.000345407,0.000296326
0.000199072,0.000185941,6.62E-05,0.000290629,0.000112713,0.000120166,0.000406833,0.000399391,0.000180338,0.000110002,0.000212783,0.000275664,0.000441295,0.000379669,0.000435083,0.000325587,0.000297494
0.000169623,0.000192322,6.26E-05,0.000310968,0.000116774,0.000131532,0.000413682,0.000408356,0.000205557,0.000117601,0.000222765,0.000273877,0.000443272,0.000375465,0.000451669,0.00030286,0.00028152
0.000191593,0.000231919,0.000115904,0.00036591,0.000159647,0.000148886,0.000441244,0.000395646,0.000278159,0.000137646,0.000269376,0.000297197,0.000437549,0.000385013,0.000454311,0.000292255,0.000290386
7.97E-05,0.000258477,0.000158433,0.000408288,0.000201167,0.000156503,0.000462163,0.00033547,0.000305861,0.00014122,0.000294217,0.00031573,0.000425471,0.000365383,0.000430403,0.000268106,0.000275727
0.000470403,0.00030959,0.000212193,0.000452682,0.000240902,0.000187979,0.000498655,0.000558426,0.000347786,0.000163712,0.000345746,0.000349353,0.000412716,0.00034663,0.000410618,0.000270451,0.000306669
0.000227265,0.000349517,0.000232216,0.000491581,0.000284463,0.00021314,0.000519602,0.000451528,0.000363366,0.000197493,0.000372695,0.000386667,0.000398973,0.000330407,0.000373773,0.00028385,0.00036449
0.000192915,0.00028539,0.000156539,0.000439315,0.000214331,0.00019281,0.000464889,0.00041505,0.00028522,0.000173059,0.000311486,0.000331438,0.000388722,0.000288498,0.000356976,0.000258135,0.000339199
0.000196619,0.00017012,4.60E-05,0.00032696,9.07E-05,0.000163367,0.000319387,0.000414274,0.000138006,0.000102369,0.000183485,0.000219718,0.000405128,0.000313608,0.000358607,0.000242959,0.000322063
