Horizon,Model,RU,RU_percent,Utility_loss_to_perfect_bps,Negative_forecast_n,Zero_forecast_n,Nonpositive_forecast_n,Below_dynamic_floor_after_abs_n,Missing_forecast_n_total,Average_weight,Median_weight,Max_weight,Share_leverage,Evaluation_obs,Dropped_initial_obs_due_to_dynamic_floor,Dropped_obs_total,Utility_gain_vs_Model 16_bps
3,Model 16,0.038077687078620484,3.8077687078620484,19.22312921379517,12,0,12,12,0,0.7402274984912892,0.703259316287443,1.72895012247077,0.09957627118644068,472,3,3,0.0
3,Model 7,0.03791694609435397,3.791694609435397,20.830539056460317,8,0,8,10,0,0.6890444780191705,0.660467615666481,1.72895012247077,0.04449152542372881,472,3,3,-1.6074098426651502
3,Model 14,0.03713052171292885,3.7130521712928846,28.69478287071153,4,0,4,4,0,0.6140824074977843,0.6048485746782821,1.72895012247077,0.025423728813559324,472,3,3,-9.471653656916365
3,Model 9,0.036980235593660184,3.6980235593660185,30.197644063398172,17,0,17,10,0,0.7486300747633607,0.718638213538406,1.72895012247077,0.0826271186440678,472,3,3,-10.974514849603004
3,Model 12,0.03697856202322641,3.697856202322641,30.214379767735874,2,0,2,9,0,0.8212416893808774,0.7959949209102989,1.72895012247077,0.20127118644067796,472,3,3,-10.991250553940707
3,Model 11,0.03691966615776902,3.6919666157769018,30.80333842230984,7,0,7,2,0,0.5936330950790288,0.5790350427729964,1.72895012247077,0.019067796610169493,472,3,3,-11.580209208514672
3,Model 6,0.03645976924386637,3.6459769243866367,35.40230756133633,10,0,10,8,0,0.7336811253107568,0.6977749154841572,1.72895012247077,0.059322033898305086,472,3,3,-16.179178347541164
3,Model 15,0.036441886635561783,3.644188663556178,35.58113364438217,8,0,8,19,0,0.8335387986170312,0.7858758936370305,1.72895012247077,0.2266949152542373,472,3,3,-16.358004430587005
3,Model 1,0.036373841707072994,3.6373841707072994,36.26158292927006,0,0,0,0,0,0.649338381279492,0.6673105322757991,0.8391121639422982,0.0,472,3,3,-17.038453715474898
3,Model 4,0.03608826187166539,3.608826187166539,39.11738128334612,0,0,0,0,0,0.6298861655421043,0.6472159523165864,0.9810097254497423,0.0,472,3,3,-19.894252069550948
3,Model 5,0.035830446794262304,3.5830446794262305,41.69553205737697,0,0,0,0,0,0.5930868764959721,0.6020586237693704,0.6548821334469763,0.0,472,3,3,-22.472402843581804
3,Model 3,0.03569041061885228,3.569041061885228,43.095893811477204,0,0,0,0,0,0.5990992929908382,0.6042434479910872,0.7320946915538943,0.0,472,3,3,-23.872764597682032
3,Model 13,0.035687416018838056,3.5687416018838056,43.12583981161945,19,0,19,17,0,0.8468427441010645,0.8089688601273991,1.72895012247077,0.2055084745762712,472,3,3,-23.902710597824285
3,Model 2,0.03566629914022404,3.566629914022404,43.33700859775961,0,0,0,0,0,0.6396995496276615,0.6364510104925605,0.9716294307692412,0.0,472,3,3,-24.11387938396445
3,Model 10,0.03545201469734568,3.5452014697345677,45.479853026543225,1,0,1,2,0,0.5964214811362484,0.5977262894661968,1.72895012247077,0.006355932203389831,472,3,3,-26.25672381274806
3,Model 8,0.034183987476201584,3.4183987476201585,58.16012523798417,19,0,19,30,0,0.951796843758768,0.9116245161449401,1.72895012247077,0.3707627118644068,472,3,3,-38.936996024189
