TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000638821,0.000709299,0.000587048,0.000557825,0.000740418,0.000446069,0.000802741,0.000622124,0.000757493,0.000487092,0.000762021,0.00054889,0.000515887,0.000594736,0.000581105,0.000566796,0.000490221
0.00068828,0.000746399,0.00063335,0.000585622,0.000789816,0.000509486,0.000861465,0.000707575,0.000774969,0.000539415,0.000809771,0.000667544,0.000525295,0.000657829,0.000620393,0.00063189,0.00050014
0.000435248,0.000456828,0.000349893,0.000353933,0.00053284,0.000477903,0.000671565,0.00055208,0.000453654,0.000412947,0.000548169,0.000525203,0.00052636,0.000688167,0.000661492,0.000581552,0.000475064
0.000313113,0.000434801,0.000261695,0.000363293,0.000482809,0.00044057,0.000579427,0.000504851,0.000465382,0.000321279,0.000496814,0.000425154,0.000532155,0.000543763,0.000548928,0.000523069,0.000436086
0.000513405,0.000426833,0.000310246,0.000367575,0.00043769,0.00039532,0.000535185,0.000659447,0.000445251,0.000280781,0.000474024,0.000366777,0.000524651,0.000483045,0.000486028,0.000473365,0.000403293
0.000142153,0.000255079,0.000195905,0.000276231,0.000283689,0.000358327,0.000392202,0.000367165,0.000326789,0.000207098,0.000330493,0.000245029,0.00051014,0.000598643,0.00056777,0.000444457,0.000371986
0.000352751,0.000310278,0.000225223,0.000253332,0.000352548,0.000425287,0.000445353,0.000513607,0.000312131,0.000245706,0.000372828,0.000314555,0.000498328,0.00036391,0.000382832,0.000410085,0.000353953
0.000480574,0.000532768,0.000400731,0.000400919,0.000582716,0.000493959,0.00066575,0.000602961,0.000585684,0.000392424,0.000599119,0.000578478,0.000512383,0.000407676,0.000446387,0.000378385,0.000336434
0.000303313,0.000492089,0.00036318,0.000353532,0.000550394,0.000456984,0.000647479,0.000415121,0.000528944,0.000382551,0.000583826,0.000572908,0.000508531,0.00049872,0.000502886,0.000333685,0.000310172
0.000326409,0.000297964,0.000193515,0.000176034,0.000333651,0.00037895,0.000411233,0.000529521,0.000305914,0.000240098,0.000343722,0.000317352,0.000502646,0.000375364,0.000426906,0.0003324,0.000343238
