TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000348777,0.000324336,0.000163436,0.000353473,0.000411909,0.000213802,0.000461824,0.000608927,0.000386025,0.000379579,0.000392041,0.000379215,0.000582168,0.000334113,0.000460472,0.000325281,0.000372181
0.000301033,0.000279253,0.000127153,0.000340381,0.000375427,0.000216555,0.000418748,0.000587933,0.000337112,0.00036288,0.000343927,0.000347201,0.000580032,0.000351359,0.000471259,0.000293093,0.000350406
0.00027018,0.000276077,0.000144851,0.000355207,0.000384213,0.000211777,0.000419063,0.000560221,0.000336576,0.00035937,0.000334942,0.000342013,0.000585777,0.000380092,0.000465082,0.000286941,0.000351573
0.000213305,0.000354035,0.000229709,0.000404866,0.000452449,0.000217262,0.000498628,0.000612698,0.000412584,0.00039565,0.000400327,0.000416189,0.000583829,0.000360038,0.000450041,0.000331482,0.000361011
0.000309103,0.000337461,0.000213643,0.000386197,0.000422012,0.000219529,0.000481668,0.000621534,0.000389385,0.000370643,0.000370166,0.000399671,0.000583027,0.000357055,0.000457293,0.000296501,0.000339966
0.000246283,0.000240982,0.000131747,0.000321513,0.000334413,0.000211406,0.000383892,0.000600852,0.000265022,0.000303471,0.000268569,0.00030415,0.000584569,0.000379509,0.000476691,0.000332432,0.00034442
0.000218886,0.00025587,0.000150317,0.000339272,0.000367042,0.000216263,0.000398337,0.000562821,0.000277036,0.000317818,0.000282899,0.000321647,0.000586771,0.00040773,0.00047307,0.000370229,0.000354095
0.00034898,0.000322886,0.000197477,0.000382514,0.000431038,0.000221691,0.000466945,0.0005739,0.000359306,0.000374015,0.000352226,0.000392039,0.000586525,0.00040719,0.000463752,0.000437382,0.000381089
0.000307705,0.000296509,0.000159126,0.000357681,0.000388495,0.000205461,0.000443,0.000566342,0.00033656,0.000372153,0.000330808,0.000376816,0.000581683,0.000366385,0.000451842,0.000401234,0.000361578
0.000398851,0.000273353,0.000151262,0.000349174,0.000358777,0.000196425,0.000422918,0.000661041,0.000286889,0.00035545,0.000297708,0.00036184,0.000582677,0.000383951,0.000464412,0.000382551,0.000356316
0.000251213,0.000314769,0.000204031,0.000390891,0.000407744,0.000199354,0.000466998,0.000560867,0.000328383,0.000374223,0.000325599,0.000404421,0.000581772,0.000364429,0.000448182,0.000376416,0.000341716
0.000207157,0.000307813,0.000181585,0.000384513,0.000397633,0.000182133,0.000461196,0.000541549,0.000324639,0.000370982,0.000313398,0.00039181,0.000582526,0.000365726,0.000437341,0.000371246,0.000329899
0.000199072,0.000239914,0.000113657,0.000327766,0.000319623,0.000160304,0.000389805,0.000531902,0.00024073,0.00033479,0.000254452,0.000323554,0.000579867,0.000403117,0.000457607,0.000400609,0.000334582
0.000169623,0.000239105,0.000127136,0.000337558,0.000325803,0.000167949,0.000384189,0.000543719,0.000266952,0.000335594,0.00026416,0.000323555,0.000585083,0.000418934,0.000463492,0.000360949,0.000317614
