row_id,TRUE,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16
1,0.00068828,0.03994227175190595,0.03994227175190595,0.03994227175190595,0.039979054272826046,0.03994227175190595,0.03999049784416843,0.039756249643743954,0.03994227175190595,0.03986734091485992,0.03999246076080396,0.03954927157639147,0.03994227175190595,0.03982317047617234,0.03994227175190595,0.03994227175190595,0.03993688700959868
2,0.000435248,0.03878097413756311,0.03878097413756311,0.0385735659698646,0.03832363114677111,0.03878097413756311,0.03878097413756311,0.03878097413756311,0.03878097413756311,0.03878097413756311,0.03878097413756311,0.03847982357721631,0.03878097413756311,0.03878097413756311,0.03878097413756311,0.03878097413756311,0.03878097413756311
3,0.000313113,0.03906795826225834,0.03795148278729492,0.03760396981057525,0.037673522740899065,0.03782962869152309,0.03907788825892119,0.03830054492420381,0.03907788825892119,0.03870758445637871,0.03819431644678836,0.03719329043534645,0.03901441821180413,0.038483825774768526,0.03907788825892119,0.03907788825892119,0.03907788825892119
4,0.000513405,0.03934169460734865,0.03993132717286687,0.039969134861932425,0.039961691843542445,0.03999535540757241,0.03865867448055139,0.039933706634466576,0.03685279565610615,0.03978208114970806,0.039446323964444904,0.03998309236160386,0.03922037943829601,0.03972413725746341,0.03867743273859068,0.03685279565610615,0.039625706309433614
5,0.000142153,0.03416852937135718,0.03244977182579709,0.030014818960524096,0.029485440204744348,0.031084021815047234,0.035743599011415425,0.03526211341177249,0.035743599011415425,0.035363610248511784,0.03429143854010733,0.033665014926777655,0.034519606953039704,0.035743599011415425,0.035743599011415425,0.035743599011415425,0.035743599011415425
6,0.000352751,0.039999884480287885,0.03978954267893146,0.039935708093630035,0.03999045009358177,0.03899320175843196,0.03986087656191858,0.03997019304851701,0.038428804669595217,0.03984083991395416,0.03882680987398897,0.03951585444044246,0.03968128605445883,0.03999999668540436,0.038703722442324937,0.037470089539303364,0.039824442822923335
7,0.000480574,0.03847632482132848,0.03935512303522046,0.039943489814251436,0.039706002256295496,0.03996021527715404,0.03968641332451978,0.039564189281683905,0.039545203552840816,0.03964530802965028,0.039539997416458146,0.03909543000601499,0.039992556112906606,0.039662452080975505,0.03964019278340876,0.03963824177895821,0.03989901303726574
8,0.000303313,0.039995055087229385,0.03991315415125931,0.03800412433868143,0.03806155021919588,0.037926133055862093,0.03703230850739829,0.03688148729080238,0.03951979561581899,0.03764294432042585,0.03915653314174573,0.03601676747892034,0.03862648127726798,0.037344657478551924,0.03978247432033348,0.039703266799475154,0.03815267939598371
9,0.000326409,0.039975352441002115,0.03999672193866664,0.03936908238308011,0.03981781855064673,0.03849210823193738,0.039991969283023183,0.039973969644367266,0.03889817921957048,0.03995655881970561,0.038153169945630463,0.03952403305521871,0.03979315824220896,0.03999523695964294,0.03476680225748639,0.036430067238025124,0.03991297190397728
10,0.000231276,0.039059147761105556,0.03900510634486561,0.03727187292165601,0.0382137671599161,0.03543917009227618,0.03989357279033363,0.03900854422612564,0.03984809223751047,0.03913807758790564,0.03642784676605011,0.03759862749185108,0.038754497463366046,0.03953765540721462,0.0388697734975738,0.03969450070518828,0.03994754070739443
