row_id,TRUE,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16
5,0.000326409,0.5560318618432658,0.5560318618432658,0.5032650364396909,0.5560318618432658,0.5135021912713568,0.5560318618432658,0.5560318618432658,0.5560318618432658,0.5560318618432658,0.5247411667111259,0.5510484261535995,0.5560318618432658,0.5560318618432658,0.5560318618432658,0.5560318618432658,0.5560318618432658
6,0.000231276,0.6383481402622712,0.5991385045943312,0.5415998284864187,0.7378473116659987,0.5156498869895771,0.7183531021924462,0.7420291424302956,0.7041499963108769,0.7159192345368012,0.5417029471668783,0.6042885933647154,0.7999336786481399,0.654582423288632,0.707703715633142,1.0483336256913454,0.7682933186601055
7,0.000235425,0.651222915612549,0.621223292101024,0.5511965965047642,0.6603582835447835,0.5177884592482733,0.6363914898827031,0.6388797594067229,0.6659201889729035,0.6238490124737666,0.560737664496385,0.5511760247930795,0.7799307933845737,0.5669812468109459,0.6438030325418209,0.81173454659441,0.6604553633692237
8,0.000307289,0.6720242993584497,0.6563601610617592,0.542722780398463,0.6031428691208267,0.521557982312148,0.6302205107775599,0.6300431786851393,0.6549883242363487,0.6099694745181768,0.5191621812630238,0.5550424555369196,0.7983854449135092,0.5748516741164379,0.6448858801894319,0.8685720009754556,0.6619834152192323
9,0.000232357,0.6461823389113662,0.660557025511254,0.5520218883879944,0.6800302751865629,0.514373648539626,0.5931215942037691,0.5872779274691093,0.616493017102616,0.5645653004198508,0.5294503433473504,0.5278526597221187,0.7632436625346597,0.5646361675553426,0.5924824508336138,0.8502123349497681,0.6198533987629851
10,0.000729326,0.6620090031456045,0.6656431618488605,0.5621206604296706,0.6724166094735453,0.5190476169714286,0.5407461105365015,0.5349017566519239,0.5724139059894713,0.5340864733742662,0.43499338486501843,0.4901420746185904,0.6896036795549815,0.519873291876203,0.5546770880057453,0.6872286931166439,0.5597312561326372
11,0.000277489,0.6472456524197797,0.6699422507436738,0.5628454919956382,0.6850471319692014,0.5211299248840222,0.6072145067181585,0.5945709044778945,0.6082333160102883,0.5705168641287218,0.5540015294646038,0.5366263193149118,0.6965542324400361,0.558281350199209,0.618717722738316,0.7582964032546331,0.6220662817333439
12,0.000272403,0.6551096218966479,0.687528447883773,0.5705373383520096,0.6916623760388829,0.5201811662454021,0.8437472138260564,0.779530591453866,0.7261583375875051,0.7530967536234253,0.5644451707378364,0.6804199128954608,0.7856877327236379,0.7029586646657474,0.7610042656328272,1.0567000075625532,0.8536441349533291
13,0.000267687,0.6533402416850386,0.6942871628241577,0.5768964302144655,0.6528278165108574,0.5228124963955372,0.8029676509373312,0.7366103877573923,0.7261643684573107,0.7734051972756985,0.5504212144773118,0.6730102059092221,0.8263801890235608,0.6879742006278535,0.7267089717347536,1.0567000075625532,0.8125647482784324
14,0.000227534,0.6133981512528242,0.6079953003876484,0.5866313955053437,0.6640205053441839,0.5217167071578147,0.6453781227579527,0.6089582907048272,0.6467576492696935,0.5915895461458233,0.5604174850442609,0.5739746631851547,0.8329461034052857,0.5729410367619667,0.6272540543996392,0.8696701102066423,0.6515415548966512
