row_id,TRUE,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16
5,0.000268281,0.5997444062132727,0.5997444062132727,0.5581947685283607,0.5881905200728518,0.5505184181796543,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727,0.5997444062132727
6,0.000207302,0.6860173104282958,0.6595172083548902,0.5716697689532758,0.6108564302836891,0.5486355637168469,1.097413687410225,0.6944379642593013,0.6875018326245151,0.9210974891302393,0.6461908382351496,1.097413687410225,0.6506937552804805,0.7642568772751264,0.6839298480420729,0.6437694127066825,0.803073674908791
7,0.000205922,0.7033003064864047,0.6856829659989644,0.5857766750476122,0.631188619324205,0.5544455424235881,0.9396111610585097,0.6020943731817875,0.6196344561896259,0.7820224281539793,0.6187333911153698,1.094535823986015,0.6284531152740148,0.6436307865391218,0.6047325523177055,0.5847568070680857,0.6704125360885784
8,0.000261718,0.7243654106448079,0.7173998394224721,0.5834060667259725,0.6227102884579372,0.5548486509037286,0.9203549678575008,0.5884304043783751,0.6233601144876896,0.7462266005769673,0.6372970243584769,0.9950324120955222,0.614356404840278,0.6307328554166184,0.5961930350292193,0.589539988370433,0.6613009485026422
9,0.000215838,0.700966949167689,0.7181873487798878,0.5864661246602898,0.6366628261179844,0.5497506009137233,0.9944588000028195,0.5880911887337879,0.635244995176027,0.7054922576613984,0.6720262114000334,0.9560372749587974,0.5886288191338203,0.6374960593651515,0.6006120075111094,0.5863136908722104,0.6715305833294084
10,0.000703466,0.7180357032584972,0.726976287129491,0.5962397676728192,0.6388477262392156,0.5546851516612172,0.8895530201085188,0.5540470613787557,0.6028645292106612,0.684762746284969,0.5679419199875869,0.81869543868691,0.5642685155024023,0.5973116190327583,0.5746441482646822,0.5464123317075193,0.6301511363981753
11,0.000240718,0.7096387296654079,0.7313061744903501,0.5979005433316402,0.6395766450030347,0.5546980542414939,0.8950108567914318,0.5440616288027942,0.5872696332454762,0.6080639845399246,0.6847597120493866,0.7968254475186746,0.5631141605874712,0.5888840351958102,0.5686646243654725,0.5377420657157795,0.6175942023141878
12,0.000242953,0.7206409650764,0.7509025570770755,0.6054129105412954,0.6466230456411609,0.5542861541420419,1.097413687410225,0.5919420418350666,0.6281452886015549,0.6186215002437085,0.6978352449473011,0.9369622748200666,0.5803971096915675,0.6420775961394649,0.6044874884951597,0.5802265899677228,0.6648252574671977
13,0.000229403,0.7140976508292081,0.7521218637326516,0.6089895917872964,0.6476226476708347,0.5559419923326838,1.097413687410225,0.6347280292240058,0.6615488739299409,0.8090788864585505,0.7020958314853815,1.0627277605310643,0.5973572723293673,0.6950781171911298,0.6477904127003115,0.6289023844319366,0.7265156241491816
14,0.000201581,0.6725651009038045,0.6613036814542236,0.6148668724222355,0.6528865437939283,0.5547867838612639,1.0970059264515903,0.6342669720243445,0.646685225479704,1.0627617888110776,0.6864652233895265,1.096424198471745,0.6171398411631374,0.7084820931057985,0.6661333074123283,0.6557393262051221,0.7620503927637028
15,0.000249015,0.6710255806271077,0.6391625172284852,0.5938162291642535,0.6290160282940062,0.5539051459846224,1.0551202133743938,0.6844130634925817,0.6670401803353732,0.8255282285001247,0.6287676591337514,1.097413687410225,0.6564581613008147,0.7575859318353103,0.6848861727149781,0.7339208681315401,0.7991319110067556
16,0.000173731,0.6730678271394674,0.6517586016190793,0.598622260386695,0.6315818753957807,0.5474652490843401,1.097413687410225,0.7773507969222367,0.715641990919687,0.7227295436157556,0.6738375271778515,1.097413687410225,0.7013230786196093,0.8089654635606454,0.7077104148247277,0.83539250308892,0.8272312263692366
17,0.000204285,0.6932951709803548,0.6717921076900681,0.5968302118057105,0.6291375778164858,0.5510283980526388,1.097413687410225,0.7452728992038617,0.7111837175085788,1.097413687410225,0.7059772211569438,1.097413687410225,0.714501756139326,0.775183317404765,0.7216155094321008,0.7634047773627328,0.8478890800621929
18,0.00022122,0.7147707742599237,0.7032499049101937,0.6007867997330262,0.6343537960200496,0.5561656640516407,1.097413687410225,0.6751986368297332,0.6741239511878208,0.9435158109348831,0.6496928445552583,1.097413687410225,0.7099586445337869,0.7119270407896523,0.6789540794366417,0.6545152880792697,0.7843999327943926
19,0.00020689,0.7222685933544768,0.7241260799600475,0.6035136661813608,0.6384169789968822,0.5508682518223919,1.097413687410225,0.6874353079969214,0.6834707846714512,0.8735685973462763,0.7115965133788332,1.097413687410225,0.7053661981128783,0.7210149590751397,0.6633298866304473,0.6580815293054741,0.7756709261800783
20,0.000173026,0.686086476062863,0.7115465767813416,0.6158805982505813,0.6436795055299285,0.5558792178102232,1.097413687410225,0.7452468218366962,0.7238905709983793,0.8387773657308374,0.6746301837758479,1.097413687410225,0.6834848649703835,0.7491336596564461,0.67209218683052,0.7159816587683807,0.7906803404495267
21,0.000205759,0.706682086864179,0.7446595030875756,0.6222043317543402,0.6469000116108896,0.5554452489104831,1.097413687410225,0.6965063316061872,0.6910253691256119,0.9343099734652682,0.6909204112702517,1.097413687410225,0.6462435415292997,0.6882872574730599,0.6395972488984977,0.6889579164377848,0.7266763335027598
22,0.000304771,0.7191414153823888,0.7428322358975973,0.6278270001756836,0.6520684211588142,0.5563771275024069,1.097413687410225,0.6522082026506748,0.6552593447370666,0.8067764404422838,0.5872479423219362,1.097413687410225,0.6277194532491455,0.6645754806961389,0.6276882905571518,0.6636307313384949,0.7027202486503502
23,0.000334674,0.7325536723379557,0.7623405095880276,0.6337283354130582,0.6505748935561267,0.5566534775950968,1.097413687410225,0.6869865159810551,0.6793606340749736,0.8035651955843195,0.6561838711799859,1.097413687410225,0.6305203452723065,0.7221950180494852,0.659296833998419,0.6993301108387966,0.7506572747303998
24,0.000171176,0.7382145366127201,0.7779685504127772,0.6409648423255696,0.6540705977363607,0.5556159048938195,1.097413687410225,0.7255872925570338,0.706039297757288,0.9123111699181802,0.8003064031405578,1.097413687410225,0.6350900148449289,0.7608002729869703,0.6848102879089967,0.7149169070930529,0.7921105047078592
25,0.0002037,0.7506133092896574,0.7958947798580089,0.6471670878516629,0.6555502242786155,0.5565399559302893,1.097413687410225,0.6822221127543869,0.6706081475049794,0.8309599178078539,0.6769712861735177,1.097413687410225,0.6374993237878923,0.6949977368851603,0.6444411257244015,0.6684535586223646,0.7248999738535032
26,0.000251832,0.7688753943488268,0.8332575624188031,0.6470680689443327,0.6541508219969068,0.5569367697123562,1.088375975192527,0.6546548818206288,0.6489649860583386,0.7787364950245382,0.7051275336405814,1.097413687410225,0.6520623077703739,0.6565018300872727,0.6167241616064815,0.6623410011468517,0.6827548438237049
