TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000267203,0.000261502,0.000298214,0.000336968,0.000292692,0.000296062,8.41E-05,0.000380147,0.00019976,0.000318594,0.000306521,9.67E-05,0.000513016,0.000373873,0.000379361,0.000284502,0.000306232
0.000264708,0.000189262,0.00025883,0.000272528,0.000222235,0.000273512,2.50E-05,0.000329763,0.000125279,0.000264981,0.000247007,2.68E-05,0.000513534,0.000378583,0.00038167,0.000254913,0.000289436
0.000252513,0.000187055,0.00026402,0.000273076,0.000219927,0.000274348,3.00E-05,0.000342599,0.000115118,0.000264724,0.000247903,3.40E-05,0.000516584,0.000375247,0.000378025,0.000250943,0.000290301
0.000188347,0.000230594,0.000283228,0.000313907,0.000262244,0.000281144,6.73E-05,0.000348284,0.000146812,0.000296232,0.00028179,8.85E-05,0.000513956,0.000370123,0.00037501,0.000273082,0.000289699
0.000253201,0.000223855,0.000264826,0.000307965,0.000255135,0.000286298,4.68E-05,0.000398243,0.000140271,0.000286783,0.000271991,8.68E-05,0.000513779,0.000369539,0.000376934,0.000246499,0.000274808
0.000222491,0.000190074,0.0002524,0.000275057,0.000220741,0.000301499,7.80E-06,0.000367484,0.000114535,0.000261392,0.000248633,6.58E-05,0.000514734,0.000374106,0.000379681,0.000243975,0.000264746
0.000196573,0.00021593,0.000295524,0.000292618,0.000243509,0.000319671,3.01E-05,0.000308583,0.000140466,0.000279795,0.000274272,9.84E-05,0.000515808,0.000373013,0.000381123,0.000273953,0.000273142
0.000298344,0.000260882,0.000330024,0.000328522,0.000283529,0.000321455,7.25E-05,0.000353185,0.000181539,0.000307111,0.000308191,0.000141939,0.000516176,0.00035478,0.000370842,0.000329487,0.000296753
0.000267833,0.00027428,0.000323854,0.000341307,0.000293958,0.000314738,8.02E-05,0.000367661,0.000180168,0.000302265,0.000308183,0.000150775,0.000515087,0.000347182,0.000367225,0.000301299,0.000282134
0.000362543,0.000302736,0.000330543,0.000370273,0.000321477,0.000317054,9.16E-05,0.000355652,0.000199184,0.000309349,0.000321033,0.000176969,0.000513867,0.000352383,0.000369395,0.000289861,0.000278639
0.000206019,0.000355955,0.000354048,0.000420326,0.000372166,0.00031758,0.000116168,0.000338698,0.000256025,0.000345431,0.000352925,0.000221685,0.000514977,0.000351304,0.000367245,0.000279528,0.00026722
0.000171049,0.000348588,0.00033494,0.000414634,0.000363809,0.000301061,8.83E-05,0.000330021,0.000238014,0.000345295,0.000334755,0.000205003,0.00051478,0.000348581,0.000364489,0.000279102,0.0002602
0.000181302,0.000275748,0.000291831,0.000350591,0.000294695,0.000281026,8.16E-06,0.000327576,0.000143703,0.0003004,0.000271755,0.000130166,0.000512941,0.000351838,0.000368761,0.00030265,0.000264211
0.00013355,0.000228965,0.000289257,0.000311267,0.000256853,0.000274576,-3.66E-05,0.0003085,8.98E-05,0.00028716,0.000253514,9.32E-05,0.000516844,0.000357958,0.000372847,0.000273175,0.000252123
0.000153348,0.000256114,0.00030776,0.000335786,0.000280165,0.000273077,-1.45E-05,0.000281625,0.000205905,0.000312926,0.000288251,0.000106015,0.000517479,0.000357471,0.000381564,0.000261354,0.000250491
7.69E-05,0.00029143,0.000300871,0.000365454,0.000308449,0.000271081,1.84E-05,0.000307385,0.000279375,0.000325442,0.000316839,0.00010204,0.000518346,0.000354796,0.000377928,0.000255189,0.000242452
0.000426104,0.00026777,0.000298935,0.000345709,0.000299294,0.000285188,2.90E-05,0.000375713,0.00018049,0.000313253,0.000329404,8.20E-05,0.000515963,0.000350171,0.000375586,0.000245953,0.000246127
0.000187168,0.000253716,0.000330569,0.000334794,0.000289009,0.000313832,4.53E-05,0.000321323,0.000213159,0.000313074,0.000342866,8.57E-05,0.000511771,0.000349959,0.000372263,0.00022958,0.000236265
0.000168321,0.000259117,0.000336691,0.000334451,0.000278965,0.00033108,4.68E-05,0.000283816,0.000279683,0.000312913,0.000331913,8.09E-05,0.000513438,0.000341229,0.000365482,0.000230284,0.000249652
0.000157722,0.000241467,0.000290782,0.000305064,0.00024832,0.000329891,6.63E-06,0.000323151,0.000279137,0.000276703,0.000274456,4.55E-05,0.000510017,0.000340857,0.00035569,0.000238932,0.000281261
0.00015315,0.00015569,0.000222738,0.00022261,0.000176976,0.000332337,-4.29E-05,0.00031426,3.49E-05,0.000235981,0.000226348,3.72E-05,0.000508983,0.000330864,0.000344145,0.000213759,0.000266799
0.000117331,0.000114346,0.000195134,0.000187552,0.000137166,0.000336127,-5.60E-05,0.000264875,5.99E-05,0.000224847,0.000205615,7.80E-05,0.000509368,0.000353124,0.000364007,0.000206823,0.000262572
0.000144438,0.000143413,0.000171853,0.000210823,0.000141396,0.000323352,-4.69E-05,0.000291192,0.000193713,0.000231755,0.000182315,9.62E-05,0.000517531,0.000355862,0.0003596,0.000197205,0.000252876
9.32E-05,0.000121301,0.000157791,0.000189817,0.000137129,0.000305417,-5.61E-05,0.000232386,5.83E-05,0.000215188,0.000153235,6.55E-05,0.000514813,0.000354385,0.000358249,0.000211126,0.000251916
0.000162786,0.00011634,0.000206883,0.000187976,0.000148672,0.000302279,-3.81E-05,0.000273972,6.05E-05,0.00021147,0.000160062,5.13E-05,0.000508193,0.000355076,0.000356369,0.000198828,0.000243091
0.000170598,0.000168039,0.000269184,0.000240063,0.000195458,0.000305399,7.18E-06,0.000262856,9.90E-05,0.000244617,0.000211238,7.41E-05,0.000513764,0.000356892,0.000356775,0.000182286,0.00023277
0.000197664,0.000206291,0.000274838,0.000281268,0.000231689,0.000306809,1.98E-05,0.000277088,0.000123249,0.000266125,0.000248694,9.30E-05,0.000509855,0.000345243,0.000344025,0.000181936,0.000239962
0.000292018,0.000262895,0.000271229,0.000330535,0.00027451,0.000316119,3.10E-05,0.000329344,0.000215196,0.000283547,0.000292924,0.000109529,0.000508566,0.000344813,0.000340144,0.000167147,0.000229893
0.000268478,0.000328849,0.00029712,0.00038682,0.000335395,0.000329512,6.04E-05,0.000397326,0.000225765,0.000318984,0.000355385,0.00014771,0.000508519,0.000337893,0.000332741,0.000176307,0.000253237
0.000238237,0.000346239,0.000310954,0.000400109,0.000352232,0.000329647,5.46E-05,0.000308384,0.000243576,0.000339054,0.000381522,0.000159886,0.000507744,0.000341623,0.000331848,0.00016031,0.000241637
0.000398697,0.000296492,0.000275162,0.000354941,0.000295438,0.000313565,-3.46E-06,0.000327942,0.000228084,0.000317685,0.000338737,0.00010805,0.00050876,0.0003427,0.000331987,0.000146992,0.000231672
0.00017915,0.000259737,0.000262824,0.000321725,0.000259046,0.000298054,-4.31E-05,0.000297713,0.000204749,0.000300636,0.000298029,5.80E-05,0.000510753,0.000342087,0.000333509,0.000140016,0.000222745
0.000188249,0.000281114,0.000299167,0.000341609,0.000287751,0.000293319,-7.69E-06,0.000281941,0.000207407,0.000325561,0.000313566,6.70E-05,0.00051129,0.000351558,0.000341268,0.000180909,0.000239839
0.000240666,0.00031229,0.000332627,0.000374375,0.00032844,0.000295046,4.84E-05,0.00034521,0.000232336,0.000357441,0.000336406,9.16E-05,0.000515583,0.000356207,0.000347905,0.00016341,0.000229561
0.000238105,0.000316375,0.000344658,0.000384884,0.000339964,0.000306837,7.87E-05,0.00034779,0.000226074,0.000361802,0.000328895,9.53E-05,0.000515849,0.000353828,0.00034822,0.000150896,0.000220771
0.000274413,0.000332139,0.000375487,0.000400595,0.000354293,0.000333584,0.000123721,0.000361926,0.000233616,0.000370546,0.000344815,0.000118077,0.000515589,0.000353613,0.0003611,0.000197194,0.000243457
0.000306776,0.000400157,0.000436449,0.000456496,0.000407091,0.000358882,0.000209898,0.000370786,0.000373515,0.000410779,0.000403005,0.000169707,0.000520557,0.000369669,0.000352334,0.000186292,0.000235036
0.000358684,0.000457177,0.000479371,0.000504674,0.000453113,0.00037268,0.00027619,0.000430929,0.000393603,0.000437897,0.000456095,0.000200787,0.000515329,0.000368247,0.000348799,0.000192748,0.000251063
0.000611488,0.000487602,0.000511714,0.000537303,0.00048112,0.000391298,0.000311479,0.000467242,0.000392651,0.000450272,0.00050274,0.000217352,0.000511787,0.000368807,0.000350433,0.000218326,0.000256778
