Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16
0.0068558816677151135,0.00831940163763771,0.009564628685963538,0.00873240584685947,0.009866855709763055,0.006119721966310804,0.006119721966310804,0.006119721966310804,0.006771245725834943,0.006119721966310804,0.006119721966310804,0.006119721966310804,0.006119721966310804,0.006119721966310804,0.006119721966310804,0.006119721966310804
0.0005616926058135407,0.0011748510050836325,0.002296021254129435,0.001749616842188391,0.0027441584957365733,5.5248664012713666e-05,0.0003930935068140115,5.310851715559228e-05,0.0010803727677064778,5.5248664012713666e-05,0.00022344454498299943,4.0747123672246754e-05,0.00024431370354399684,5.5248664012713666e-05,1.9503079539975876e-05,1.4320315188783017e-05
0.000375903531660185,6.526854828742962e-05,0.00037779753676560335,0.00021378691911821956,0.0005002762974607652,0.0024170923874358846,1.5224455802646808e-05,0.00015491528508235208,3.4614127404207495e-05,0.0005716463795738813,5.699187343419232e-05,0.0022261629121012386,3.91992794897128e-05,0.0024170923874358846,0.001151680197512682,0.00036406871936430635
0.0006915290296294133,0.001054443214730208,0.002899287606673434,0.002153842468531779,0.0036250739473787097,0.004108417786570062,0.001722696152588847,0.0007204063430077956,0.001606450267587295,1.8799572500304007e-05,0.0007857412289657903,6.019997682828182e-05,0.0008204375231509325,0.0008719508172590346,8.038746956008647e-05,0.00025139438749824383
0.00018033352550086285,0.0003235476748262092,0.0020069112444190476,0.0011065882654430897,0.0027084536839939236,0.007283245781439643,2.6974916788810588e-05,4.451969843975029e-05,9.175619970366866e-06,0.0002009596941933492,7.740126468503555e-05,2.2063811104935938e-05,4.2873615086418126e-05,0.007283245781439643,0.001489177946115569,0.0009336253458141971
0.0009338977797800768,0.000999446260111586,0.004231039281408597,0.003271675995074913,0.004900563411997086,0.002583272686057847,0.0016291493789528724,0.000553603554496164,0.0006673608394329386,0.0004639352474404626,0.0010164057756223976,0.0011565926326650294,0.0007690993356908593,0.002425830719788781,0.00012222459356267534,7.4065522114794e-06
0.0013798728410728545,0.0010837197644799831,0.004037160796767636,0.0027438677335277703,0.0050280221495449876,6.910624004920901e-05,0.0033096282846629826,0.0015832801950074332,0.002165220557202946,0.0014925710832081052,0.0029447658360736706,0.0012291167293959904,0.0023512208807562884,6.34533462837844e-05,0.0003608996247659521,0.0009188496769837878
0.0001316335177283523,8.109212403227539e-05,0.0019194073335544876,0.0010307221376145564,0.0028087410156976966,0.00011254206514146187,0.0013934617395022705,0.0002561510376610024,0.0005235105794723707,3.2104456041848195e-05,0.0009998206858099629,0.00011050563141371678,0.0009230815497618394,0.00016835397094368265,4.668551311361874e-05,0.00012481208399971883
0.0009614760598689737,0.0006377490760149512,0.0032598354757186476,0.002238663658931328,0.004475652088908572,1.2101673735137597e-05,0.0025302763686202434,0.0008416899653866522,0.0016629276775373195,0.00023437107317800937,0.002122835133729954,0.0005991640126206954,0.0024371816811035313,0.00010739069970184395,0.00022475026769238488,0.0010951593291169473
0.01216772129933956,0.015310996026263526,0.0037725449574847747,0.006188202353382438,0.0016420508177514628,0.015675919793637222,0.0021447349488645656,0.006985983325157694,0.0014284586927481024,0.003446521523816068,0.0020406631711998927,0.013051980996783688,0.001756265135889938,0.0084183582605354,0.006490032153612976,0.0035687867053781352
0.00041226364882901434,9.245587371840835e-05,0.002194551576722298,0.001265581864047377,0.0034104567004864944,4.657077124346071e-05,0.004061110514594984,0.0016477155739912652,0.0051509785372623185,8.382827922119584e-05,0.004581121940204665,0.00012812991491268494,0.004540054165673477,0.0017661126468304714,0.002185533756926261,0.003730268102470416
0.0009585003271651571,0.001038258166577391,0.0019446296665340534,0.0010858995289851764,0.003332318244238061,0.0021980849729809557,0.002076921284429524,0.0006360937990985485,0.003359762071428865,0.0006284029797114371,0.0038960279462837283,7.560398245357036e-06,0.0034651093256143767,0.0007135538865237004,0.0005614384829192437,0.0026499228210210973
0.0013072664313874757,0.0019140283943496206,0.0033161579596438506,0.0022002481154232284,0.004056771741464904,0.0040778382112123535,0.0006102676916270589,0.0002147037372986979,0.0004940833746332821,0.00019471117867941867,0.002357014990979636,0.00023244732915322225,0.0015466713852885158,0.0001377494583272021,0.0009305307718206687,0.0003999163597196015
0.0021072797617214534,0.0025800416605210597,0.0038020586587195065,0.00266882461586862,0.005286082582373924,0.000264936816021695,0.0024960189706031283,0.0012930213852426209,0.0017352052233625403,0.00044438270086727405,0.0017291557958682147,1.7247674915538136e-05,0.0009875912177668006,0.0013900830529861227,0.00013308818874138012,7.205026342216314e-08
0.000533815259792722,0.000839076776869882,0.00218286178051378,0.0013217642677016694,0.003417181874902378,0.0009305545358764267,0.0012060340103747375,0.00046229348887294464,0.0013349872899948365,0.00010747536783731193,0.0004346612458919555,0.0017867354665048393,0.0002647311436360031,0.002958594716682847,6.284302353935789e-06,5.8640378124620585e-05
0.0022286996152060187,0.0024338038303188952,0.0050353732622274855,0.0038756911409180417,0.00659511371046409,0.0008773315619658995,0.0020393905667940165,0.001681428091459422,0.0024047663104397737,3.710174672841987e-05,0.0028308952999771264,0.00010876799121403019,0.002241034690846244,0.0001024306410580128,0.00020615120149988786,0.0008534593180216654
0.001049850313480899,0.0010443278930291414,0.003498167446637168,0.002410083964693291,0.005177038002973186,0.002400412059353922,0.00019080200761201205,0.0006744257530708689,0.0007734674852007128,3.7884323390871555e-05,0.0022647317365517006,0.00022871219018105043,0.0015949019461071329,0.00030865873656984316,0.002400412059353922,0.0003197838168901915
0.001237292402890458,0.0007808357216438147,0.0026293547544314483,0.001942070425816414,0.0041154399699998845,0.0028609954164298124,0.0005532854579223603,0.0011496474385596506,0.0024867461049700723,0.0005905245499234907,0.002466112278915647,7.070849149803937e-07,0.0023253073645206346,1.4923623545270992e-08,0.0010236160781962461,0.0009325010469981021
0.0012497883368903229,0.0006344320065296283,0.0029098426600917132,0.0022815957573353307,0.004674570992466959,0.002557985502947377,0.001240584975024897,0.0015226841490683513,0.0023634131631654065,0.0003535628347073466,0.0020569922560741277,3.811729354519233e-05,0.001890507779250164,0.00012564332537427086,0.00017221320117070948,0.000500007638693005
0.0021629727580728952,0.001701361812571106,0.0042780880549264655,0.0034404094141855315,0.00630721093758442,0.0008499213959480764,0.00167027670108294,0.002022855180096615,0.0015326200449838484,0.0012459693304892397,0.0019111256508132085,0.0004061273140878452,0.0012779193049677687,0.0008499213959480764,8.178269742920019e-06,2.6526741475484117e-05
0.0008506961261044166,0.0004909665553350026,0.0026897662473019113,0.0021954913388690656,0.004680804241327996,0.0024890802046256266,0.001582087859318855,0.0016697474587679118,0.0022622097507390138,0.00010635085606517519,0.0023275776841113482,3.966603062545426e-06,0.0016540889857130925,0.00010589678939489783,2.1194411135155855e-07,0.000397728176350573
9.387585318541142e-05,0.00042622357371654984,0.00029615728376211625,0.00015634009988151065,0.0016034720862868057,0.00439919391358462,0.000384398054029067,0.0002953903136377056,0.0010314152074881316,0.00017602641938727764,0.0009774516134548536,0.0029514086460955408,0.0006086394965864328,0.00032185753919095755,0.000583814066306719,5.904908131382919e-05
0.0005680783161143357,0.0014848314444079122,3.7178146834924986e-05,7.376166203859613e-06,0.001010573967654027,0.014089614516687388,1.7813239392566738e-07,8.141817931857365e-06,0.0002581939863319574,0.00017388760521292596,0.0002422050117092539,0.007188093047133623,7.035986020612062e-05,0.0021206878971120266,0.002504108840121075,0.00012486891938301437
0.0012653882944845124,0.0004621418505492622,0.003796404435273071,0.00354384562271174,0.006371847019206706,0.0007798090354309423,0.0021784729088898808,0.0019999620139569962,0.003838908900083267,0.0007187676365047885,0.003982249733528127,3.478414375309574e-05,0.003227255419580133,0.00010457397238648747,6.931206893523445e-05,0.001599318053412381
0.0014813272892031035,0.0013683473030511178,0.002521055697959136,0.002726861604508725,0.004818155375393804,0.0022253949486202643,0.001742177803772102,0.0012883705971473702,0.0028965245754214927,0.0016865759666708363,0.0032631182846185047,0.00044339805136713734,0.002406616373060312,5.263946597705571e-05,1.2720333352200797e-06,0.000909205402032362
0.0006124083434793648,0.000359002172372877,0.0012710076686476071,0.0014055259887478036,0.0030778061646895283,0.001661941118513123,0.0009610514979419005,0.00047118815695013777,0.0013014709719772755,0.00012183556030846698,0.0016976220691851118,0.002902073104864386,0.001133382990761586,8.853072509124732e-05,0.0003196301750034089,0.00012468074559349174
0.0007937289261365499,0.00043047385318501635,0.001571946691893561,0.0016154684626212001,0.003799166087042706,0.0014388333330986255,0.0009421793930530636,0.0004779395217310231,0.0013042139215495227,0.00034344996282419105,0.0013437989922306381,0.0020830220030134683,0.0010154082972724382,0.000374899591827009,0.00010334104757517282,3.130458337742559e-05
0.0005853169809110839,0.0002910552827356458,0.0016343381433724657,0.0017801761575726022,0.003931466382660481,0.0011634178864047134,0.0008500333721012665,0.0004532077068596513,0.0016030653142422857,0.0002567638538199038,0.0014052220174730554,0.0015366711559143334,0.001164690728217177,0.0003402680455096771,4.500410707014568e-07,8.182273564281278e-05
0.00038312883027852296,5.4342428449115354e-05,0.0017840781634177044,0.002028353734000052,0.004060134212328648,0.0004912888259644144,0.0013739591711299515,0.000725716583871161,0.002096623512519255,0.0001590647346881302,0.002517892958407153,0.0015017195485581836,0.0018675273107437787,4.788290115444183e-06,4.3681149117423546e-05,0.0005075398514121643
1.1195504861880035e-05,0.0001654491907003286,0.0007148214401634517,0.0008691663483553214,0.0026075952165369315,0.006700842565377285,9.544468847758752e-05,9.676685121459694e-07,0.0003415650060158079,0.00026328812020639386,0.001352197809009241,0.004541605749428759,0.0004943085702222086,0.0016063542821467755,0.0011730623193273726,5.404193040826899e-06
1.640441420822092e-05,8.7784783927361e-06,0.0007275971054968508,0.0007904120486070532,0.0025977676445874537,0.006961475266825043,0.000387967722692166,0.000369666388291133,9.92403586609486e-05,5.6278226508658935e-05,0.0007073379207043276,0.004052216289828048,9.450262774782225e-06,0.006961475266825043,0.006961475266825043,0.0010436490745924717
8.579459559288072e-06,6.231240719634795e-05,0.0009830062952650986,0.0010023890589602735,0.002991766043277798,0.005902786318634806,0.00023281044824927793,9.211410158996292e-05,5.301876753276147e-05,0.0001114111029471565,0.0008114670899591822,0.003107523747382643,2.833987845267394e-05,0.005902786318634806,0.005902786318634806,0.0011315673183868516
0.0006878637446933247,0.00034944635499239984,0.003053909665055532,0.0031954859577311423,0.005601876017050561,0.0015275368238570827,0.000883390011795146,0.0010768134196844081,0.0011027666566775576,0.001041438663335087,0.003022026322328314,0.0011313289426699707,0.0017294735065459046,0.0007682036872764808,0.0015275368238570827,0.00019496824296373616
