row_id,TRUE,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16
5,0.000268281,0.038058839948376964,0.038058839948376964,0.036990155687559874,0.03778509665136375,0.03676716787424449,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964,0.038058839948376964
6,0.000207302,0.038133480259819864,0.03757343999698755,0.03519215586592193,0.036354004518071636,0.03443434181128503,0.03741672731394216,0.03829607676560453,0.0381626831773604,0.039889184179105926,0.03726408094178585,0.03741672731394216,0.037370687460402174,0.039358860705816234,0.03809202702556525,0.03720587781689249,0.03972943945466679
7,0.000205922,0.038416838992432145,0.03808137018076681,0.035569671731781986,0.036839770374711575,0.03456861820196035,0.03980281101470449,0.03605068730897218,0.036536919314935856,0.039522309046548444,0.03651271873065476,0.037566149625230166,0.03676932074415544,0.037150403977262936,0.03612586086891077,0.035538690347098584,0.03776453028779704
8,0.000261718,0.03980474076796656,0.039751547740622034,0.03748259820575292,0.038393603249851936,0.03669287216317643,0.03867801188683679,0.03761041313036149,0.03840695276457858,0.0399301224315845,0.03867985383884842,0.03691560878458952,0.038217026924701886,0.038554511549411793,0.037801341403853994,0.037638191131642185,0.03908981363862957
9,0.000215838,0.03866621087518202,0.03894342817966108,0.036002616599812576,0.03734589245134683,0.034846536560593014,0.038980676585521803,0.03605039691235816,0.03731171265716122,0.03874218489128854,0.03812765410850518,0.03947255324494837,0.03606614113821791,0.037365877270231156,0.03640890174431687,0.035998119987488204,0.03811763745062393
10,0.000703466,0.029530477017386828,0.028745969138697966,0.03739492789417963,0.035241828767442224,0.03887481260056561,0.009537155543622444,0.03889276422301628,0.037102418652782146,0.03220108063787777,0.03846920125975038,0.019061240727057976,0.038587835412273744,0.03734865655955466,0.03824042239147768,0.039096358085411204,0.03573357202344313
11,0.000240718,0.03936395420591958,0.03960465128669366,0.037218446102142755,0.03819580232946132,0.03598285258484421,0.03958236294775042,0.03564391254043518,0.03693540629151683,0.03747621969951265,0.03901733353647187,0.03998596488285935,0.03624131313341948,0.0369792714995519,0.036407066651190076,0.03543603342600851,0.03770654782149248
12,0.000242953,0.039529626708565246,0.03979835121597376,0.037480003919244186,0.038399781881880674,0.03604986248424531,0.03488221068244282,0.03713424692114,0.038013089606351504,0.03779745372672261,0.039253014913759196,0.03898637958988671,0.03682024108030266,0.0383085344698268,0.03745696189931096,0.036815480876312895,0.03873983099006872
13,0.000229403,0.039198821899489505,0.039632791188902186,0.03712951903123438,0.038038565492313874,0.035600141153123654,0.035922161788787654,0.03775433782274153,0.038323939591011436,0.039970099178970285,0.03902713641344835,0.03691772928233758,0.03682200593059984,0.038919032273404354,0.03804213674300205,0.037619622360139715,0.03935893002915146
14,0.000201581,0.03765609485032771,0.03740388864698249,0.036227803336737655,0.03720696772737428,0.03438109378382649,0.037767559001107835,0.03674578592918723,0.0370572813597303,0.03843733180216073,0.03794962971237655,0.037779931630961945,0.036290469147658364,0.038374399060070286,0.0375136289590806,0.037274515612975054,0.03920220591234046
15,0.000249015,0.03898200443121076,0.03840896041855832,0.037373722323926536,0.03819973210072944,0.03624904147730662,0.03586411641747771,0.039184758313715325,0.03891730060742048,0.03995379613768185,0.038194448529598087,0.034389169057138236,0.038735825914478356,0.03989550232349636,0.03919151206951313,0.0397391587258852,0.039999965780862394
16,0.000173731,0.036499010200771044,0.03595149726882478,0.03441304361616464,0.03539643618186024,0.032698315246806456,0.03912266843803411,0.03860503095213383,0.037473825533649155,0.037620698585767935,0.03651804263820518,0.03912266843803411,0.037163679973420315,0.03905540159590529,0.03730424672517566,0.03936471808200433,0.039275720448797596
17,0.000204285,0.03817695628509703,0.037736525986940814,0.035828879873187225,0.03672198657703067,0.03437856064804731,0.037599587940646086,0.039044954924383105,0.03850707758491745,0.037599587940646086,0.03841439430033713,0.037599587940646086,0.03856468745435664,0.03941835200624448,0.03868438062837033,0.03928230490896857,0.039941919609446035
18,0.00022122,0.03902429872547255,0.03884696304781593,0.03661871068594243,0.03747761147030522,0.03528246629588058,0.036506102224952805,0.03835329983907787,0.03833264190588526,0.0394814116551045,0.037828281602049915,0.036506102224952805,0.03895202744061629,0.038981901980010406,0.03842447687747143,0.03793310859306245,0.03978107396612523
19,0.00020689,0.038769271700910074,0.03879885002708148,0.036131472276075535,0.037059336268946245,0.034491656991696644,0.03744201449705263,0.03814795861248406,0.03806922501337133,0.039999713938471314,0.038592359685840086,0.03744201449705263,0.038483588869476545,0.03874910568240572,0.037643923680215435,0.03752615051198693,0.03947613098787967
20,0.000173026,0.036780941721476695,0.03735594609290255,0.034902526639611284,0.03569771053179864,0.032956491181729594,0.03915007860405193,0.03803011904000179,0.03761438209787635,0.039382327469227776,0.03650376615250375,0.03915007860405193,0.036719002328378644,0.038101505067814095,0.03644081275189712,0.03745032917150973,0.03878225060670235
21,0.000205759,0.03847257258032011,0.03907373959437643,0.036598936380379726,0.03722321413926673,0.0345947706338737,0.03751091979537438,0.03828608766735725,0.03818119182389436,0.03983742367449088,0.03817915271811098,0.03751091979537438,0.037207437613235764,0.038127622352401885,0.03704519484037486,0.038140815277494036,0.03880771699042449
22,0.000304771,0.039999506197118034,0.039965627814871105,0.03932353806972237,0.0396278649633296,0.037901448777273056,0.02915720545768953,0.03962935803537491,0.03966120097899502,0.03944380523384656,0.03861209120613236,0.02915720545768953,0.03932198680635331,0.0397495791188086,0.03932153698181745,0.039741224110292406,0.03997240025216028
23,0.000334674,0.039837673021661614,0.03954241871215042,0.03974530760108098,0.03987752860072539,0.038529861997575354,0.02591038548331262,0.03999975755410991,0.039992672049572506,0.038886896732884285,0.03991092835295073,0.02591038548331262,0.03971470368238835,0.03990527832971138,0.03992717523440814,0.03999043760103041,0.03967606393514884
24,0.000171176,0.03782115852744455,0.03852379337004728,0.035527582476663225,0.035884243373015295,0.03284241592342066,0.039220190964569066,0.03756944578284909,0.03715264300104494,0.0398893417476999,0.03885877509147875,0.039220190964569066,0.035362894499002664,0.038237078033617714,0.03666265636134372,0.03734601778499086,0.038740867957345465
25,0.0002037,0.03910382783649295,0.0396128208524174,0.0371512601160795,0.03735040162629728,0.03453780498875933,0.037634419930350715,0.037935997711147765,0.03768998379409954,0.039862353579500784,0.03782648668529141,0.037634419930350715,0.036912644148412395,0.03819062380047658,0.03708495035365844,0.037642821206274005,0.0387210853386343
26,0.000251832,0.039960209174793364,0.03990177405276973,0.038631502457859124,0.03876032979152093,0.036436062290582834,0.03449743042423707,0.03876925538376082,0.038666629531282,0.03998537833923259,0.039499712743179524,0.03415447224886094,0.038723003999671796,0.03880168448502973,0.03800750923989874,0.03890136166789466,0.03921582413193485
27,0.00023018,0.03900501050235386,0.03911640850493864,0.03802314022004245,0.03798219070041818,0.035634335849703574,0.03586494079409695,0.038795462830721175,0.03870346527134831,0.03995904253678792,0.03861021623101053,0.03586494079409695,0.038540681293063386,0.03874767755935624,0.0378261795507011,0.03917254799626452,0.03924119947594559
28,0.00022652,0.03866233241060966,0.03896999692052288,0.03774862281160805,0.037795399241780304,0.03542521925374642,0.036131818477322344,0.038966642368525026,0.03890855593242688,0.03991913461073288,0.03861567180895539,0.036131818477322344,0.038611844340781604,0.03897894213689649,0.038063573053883,0.03933808327146246,0.03945482939827928
29,0.000224171,0.03886887639735995,0.03926411171530103,0.03779691248047045,0.03799322597296387,0.03532133537978359,0.03693518715462542,0.03862595142686471,0.03853592636747412,0.0399428528170476,0.03819743528165653,0.03629950532569155,0.03881204181084681,0.03870313843503527,0.037873626862503965,0.038952263115398594,0.0392142456462298
30,0.000267203,0.0398263103624901,0.03996185948657682,0.03896645141341748,0.039043866204178275,0.03690190907141343,0.03281437252288835,0.0398239806551151,0.03971643186295685,0.03901961761797439,0.03895525815557104,0.03281437252288835,0.03990005008958833,0.039920668924580106,0.03952025367792609,0.03988584587273085,0.039995298285328565
