Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16
5.772824809405913e-05,5.772824809405913e-05,5.772824809405913e-05,2.0945727173961315e-05,5.772824809405913e-05,9.502155831578318e-06,0.00024375035625605335,5.772824809405913e-05,0.00013265908514008967,7.539239196045766e-06,0.0004507284236085346,5.772824809405913e-05,0.00017682952382766515,5.772824809405913e-05,5.772824809405913e-05,6.31129904013275e-05
0.0012190258624368983,0.0012190258624368983,0.0014264340301354053,0.0016763688532288948,0.0012190258624368983,0.0012190258624368983,0.0012190258624368983,0.0012190258624368983,0.0012190258624368983,0.0012190258624368983,0.001520176422783695,0.0012190258624368983,0.0012190258624368983,0.0012190258624368983,0.0012190258624368983,0.0012190258624368983
0.0009320417377416679,0.0020485172127050894,0.002396030189424761,0.0023264772591009425,0.002170371308476915,0.0009221117410788196,0.0016994550757961982,0.0009221117410788196,0.001292415543621299,0.0018056835532116455,0.0028067095646535575,0.0009855817881958759,0.0015161742252314814,0.0009221117410788196,0.0009221117410788196,0.0009221117410788196
0.0006583053926513607,6.867282713313855e-05,3.086513806758312e-05,3.830815645756297e-05,4.6445924275981265e-06,0.0013413255194486204,6.62933655334319e-05,0.0031472043438938585,0.00021791885029194547,0.0005536760355551035,1.6907638396145008e-05,0.0007796205617039975,0.00027586274253659643,0.0013225672614093284,0.0031472043438938585,0.0003742936905663935
0.0058314706286428306,0.007550228174202915,0.009985181039475911,0.01051455979525566,0.008915978184952773,0.004256400988584583,0.004737886588227519,0.004256400988584583,0.0046363897514882235,0.00570856145989268,0.006334985073222353,0.005480393046960304,0.004256400988584583,0.004256400988584583,0.004256400988584583,0.004256400988584583
1.1551971212248047e-07,0.00021045732106855092,6.429190636997317e-05,9.549906418236664e-06,0.0010067982415680465,0.00013912343808143018,2.9806951482996835e-05,0.0015711953304047913,0.00015916008604584947,0.0011731901260110394,0.00048414555955754446,0.0003187139455411783,3.3145956465641113e-09,0.0012962775576750712,0.002529910460696644,0.00017555717707667257
0.001523675178671531,0.0006448769647795505,5.651018574857197e-05,0.00029399774370451187,3.978472284596468e-05,0.00031358667548022495,0.0004358107183161028,0.000454796447159192,0.0003546919703497284,0.0004600025835418617,0.0009045699939850202,7.443887093401547e-06,0.0003375479190245029,0.0003598072165912486,0.00036175822104179967,0.00010098696273426466
4.944912770622756e-06,8.684584874069784e-05,0.0019958756613185774,0.0019384497808041246,0.0020738669441379143,0.002967691492601718,0.003118512709197628,0.0004802043841810183,0.0023570556795741576,0.0008434668582542812,0.003983232521079669,0.0013735187227320311,0.002655342521448084,0.00021752567966652758,0.0002967332005248541,0.0018473206040162948
2.4647558997892283e-05,3.2780613333643904e-06,0.0006309176169198988,0.0001821814493532803,0.0015078917680626247,8.030716976824281e-06,2.603035563274181e-05,0.00110182078042953,4.34411802943957e-05,0.0018468300543695443,0.00047596694478129614,0.00020684175779104447,4.763040357069759e-06,0.005233197742513615,0.003569932761974884,8.702809602272737e-05
0.0009408522388944518,0.0009948936551343948,0.002728127078343995,0.0017862328400839109,0.004560829907723829,0.0001064272096663807,0.0009914557738743696,0.00015190776248953652,0.0008619224120943667,0.0035721532339498957,0.0024013725081489246,0.001245502536633962,0.0004623445927853867,0.0011302265024262098,0.0003054992948117244,5.245929260557641e-05
